depth,TAR,BIT
610.45,0.771055,0.141134
610.78,0,0.107542
610.87,0.77866,0.086711
611.01,1,0.061061
611.14,0.750935,0.091182
611.19,1,0.091728
611.27,0.799541,0.088156
611.39,0.970291,0.083726
611.47,0.742187,0.114112
611.54,0.880712,0.106703
611.59,0.848647,0.095368
611.64,0.927774,0.105449
611.69,0.902649,0.072841
611.75,0.952526,0.057158
611.77,0.922263,0.057814
611.8,1,0.090972
611.84,0.698596,0.104276
611.86,0.937209,0.097241
611.88,0.929779,0.113302
611.9,1,0.102333
611.92,0.902901,0.116613
611.94,1,0.137161
611.96,1,0.155635
611.98,0.853877,0.167584
612,0.94621,0.160524
612.07,0.940319,0.16557
612.13,0.88636,0.155038
612.19,0.852321,0.159645
612.25,0.892452,0.145391
612.29,0.864404,0.134746
612.37,0.936353,0.150498
612.45,0.925239,0.139671
612.48,0.926506,0.14247
612.54,0.921874,0.132561
612.58,0.95823,0.119661
612.66,1,0.108798
612.7,0.851446,0.107193
612.74,0.943471,0.110075
612.79,0.82563,0.114479
