depth,TAR,BIT
367.42,0.67592,0.1751
367.62,0.442413,0.1822
367.82,0.306468,0.1842
367.82,,0.1842
368.02,1,0.195
368.19,0.574054,0.460778
368.42,0,0.189
368.62,0.74806,0.113
368.82,0.286961,0.0638
369.11,0.647374,0.22925
369.32,0.880687,0.1085
369.52,0.492064,0.124
369.73,0.658402,0.3906
369.94,0.730386,0.152
370.12,0.7261,0.196667
370.31,0.946571,0.131667
370.52,0.755507,0.37075
370.72,0.336902,0.1717
370.91,0.630682,0.206
371.12,0.792946,0.54
371.31,0.405268,0.5308
371.52,0.545719,0.62
371.72,0.703256,0.52825
371.95,0.966308,0.5472
372.14,0.791947,0.556
372.14,0.881721,0.556
372.29,0.885894,0.469353
372.49,,0.417471
372.69,0.903631,0.3854
372.89,,0.5094
373.07,1,0.524
373.29,0.882434,0.463032
373.49,0.803207,0.477258
373.69,0.971831,0.490806
373.79,0.834546,0.496903
373.99,0.75879,0.5406
374.19,0.770559,0.591267
374.39,0.924165,0.533933
374.57,0.852141,0.482333
374.79,0.636533,0.429667
374.79,0.708676,0.429667
374.98,0.891683,0.518333
374.98,0.740879,0.518333
375.19,0.851727,0.543095
375.19,0.740722,0.543095
375.33,0.656205,0.51754
375.52,0.742592,0.482857
375.72,0.953384,0.4554
375.92,0.947859,0.5094
376.1,0.976282,0.508667
377.57,0.901799,0.370246
377.77,0.836614,0.355482
377.82,0.978948,0.351791
377.96,0.884511,0.341455
378.02,0.752593,0.337026
378.25,0.835356,0.3396
378.43,0.855294,0.4054
378.66,0.944278,0.348
378.66,0.943182,0.348
378.83,0.959899,0.1923
379.06,0.95333,0.199
380.45,,0.3102
380.65,0.892222,0.32865
380.85,0.967399,0.34815
381.05,0.819564,0.2805
381.25,0.940987,0.2378
381.44,0.89231,0.29345
381.65,0.822806,0.2161
381.87,0.879027,0.28825
382.06,0.955571,0.2074
382.26,0.760975,0.2298
382.46,0.631734,0.217
382.66,0.562111,0.1482
382.85,0.621237,0.12555
383.06,0.58828,0.101
383.23,0.7581,0.0815
383.38,0.483119,0.0884
383.58,0.60737,0.0914
383.78,0.700655,0.085
383.98,0.465304,0.1043
384.18,0.745092,0.1158
384.38,0.742997,0.087356
384.75,0.727115,0.090651
385,0.695546,0.092877
385.18,0.683041,0.094479
388.06,0.630977,0.2505
388.26,0.922393,0.3805
388.46,0.853929,0.3775
388.64,0.754027,0.44215
388.9,0.935008,0.40245
389.06,0.918245,0.44425
389.26,0.899711,0.467667
389.46,0.783905,0.462333
389.64,0.878117,0.47595
389.84,0.921429,0.4372
390.04,0.975775,0.3951
390.24,0.940434,0.3795
390.46,0.806419,0.45925
390.63,0.720396,0.4558
390.85,0.84464,0.435
