depth,TAR,BIT
162.44316,0.737618,0.222876955
163.05276,0.895778,0.211164932
163.63188,0.749515,0.175239861
163.9062,0.780068,0.203478653
164.27196,0.842958,0.17923806
164.57676,0.971454,0.207731374
165.24732,0.872904,0.15484511
165.91026,0.867556,0.138122418
166.13124,0.773799,0.091633873
166.46652,0.547131,0.126143819
166.8018,0.906722,0.066020099
167.07612,0.899489,0.10824322
167.35044,0.846843,0.136300988
167.95242,0.808952,0.101865104
168.53916,0.940695,0.0815525
168.84396,0.881944,0.102219794
169.238676,0.914216,0.098038966
169.52214,0.815738,0.072738512
169.86504,0.732352,0.065380129
170.14698,0.961289,0.065628578
170.249088,0.933133,0.068458035
170.4594,0.569211,0.079508831
170.7261,0.720187,0.08719026
170.78706,0.768904,0.08291897
170.98518,0.571222,0.1743997
171.09186,0.778895,0.046793901
171.30522,0.885798,0.075029386
171.47286,0.506932,0.113057108
171.61002,0.906592,0.151765868
171.74718,0.357122,0.119614723
171.92244,0.788409,0.200391945
172.079412,0.558641,0.170099463
172.21962,0.680849,0.143344744
172.37202,0.442298,0.118846913
172.53204,0.583877,0.12700514
172.83684,0.94906,0.193295018
173.17974,0.655748,0.244061215
173.47692,0.672106,0.186357252
174.08652,0.433165,0.149719531
174.69612,0.801279,0.135347116
175.27524,0.69336,0.321324652
