depth,TAR,BIT
-24.82,0.2,0.43
-24.74,0.26,0.383
-24.65,0.3,0.507
-24.61,0.73,0.656
-24.58,0.52,0.812
-24.57,0.25,0.542
-24.45,0.36,0.429
-24.35,0.16,0.051
-24.3,0.38,0.054
-24.2,0.56,0.075
-23.75,0.49,0.058
-22.58,0.27,0.035
-19.09,0.49,0.05
-11.13,0.38,0.046
-5.93,0.38,0.053
-2.91,0.07,0.059
-0.17,0.2,0.058
0.51,0.08,
1.71,0.1,0.204
5.5,0.13,0.13
8.65,0.61,0.114
11.1,0.22,0.294
21.9,0.12,0.798
23.9,0.35,0.917
24.9,0.31,
32,0.08,
35,0.07,0.774
38,0.12,0.44
39,0.19,0.743
41,0.04,0.581
