depth,TAR,BIT
11.25,0.96,0.485714286
12.15,0.95,0.755946225
12.8,0.78,0.690114068
13.15,0.94,0.697007481
13.43,0.94,0.86188579
13.65,0.91,0.766316579
14.16,0.95,0.86
14.65,0.96,0.907079646
14.92,0.8,0.837440553
15.45,0.98,
15.8,0.79,
16.15,0.99,0.764176418
17.25,0.97,0.651943463
17.9,0.86,
18.65,0.89,0.851916376
19.21,0.69,0.593174061
20.15,1,0.712329021
20.35,0.97,0.592907967
20.55,0.94,0.672768428
20.65,0.79,0.63686093
20.76,1,
21.15,0.99,0.370917353
21.35,1,0.544893279
21.65,0.98,0.624977408
21.825,0.98,0.443871538
23.15,1,0.442009933
23.35,1,0.349214569
23.55,0.94,0.572097866
23.62,0.71,0.20432348
23.775,0.97,0.460227273
27.62,1,
29.56,0.69,
31.155,1,
34.44,1,
