,algal,plant,soil
BIT_median,0.01984404265863258,,0.8647660923683791
BIT_25pctile,0.013891553278485338,,0.7749312724138542
BIT_75pctile,0.026864610372996423,,0.9363437503367146
BIT_mean,0.021101056574266377,,0.8519909655981673
BIT_std,0.008316174664445111,,0.09775496606005113
CN_median,7.027037572746659,94.7696595817378,10.116339776218247
CN_25pctile,6.900124042925694,92.24084387281509,8.847803700332873
CN_75pctile,7.200394806486692,96.62403024832435,11.993797691991126
CN_mean,7.0745801938631825,94.04742854457533,10.694928717593106
CN_std,0.21796163635337124,3.1543909601715185,2.364959437315494
nIter,1000.0,1000.0,1000.0
