sample_ID,algal_median,algal_25pctile,algal_75pctile,algal_mean,algal_std,plant_median,plant_25pctile,plant_75pctile,plant_mean,plant_std,soil_median,soil_25pctile,soil_75pctile,soil_mean,soil_std,nIter,rmse_mean
20f,0.03248028165753403,0.02919136764061072,0.03578783638630406,0.032464685439685254,0.0038795630583809116,0.9672531577084399,0.9424534514814633,0.9888798911450001,0.966774589890864,0.027450430801441952,0.001077602624882846,0.0009245347298845411,0.0012399567697598795,0.001094606787368241,0.000231287695737672,1000.0,5.551476740270975e-05
20e,0.04057015140313428,0.03726030671759673,0.043740240607966024,0.04049141003147011,0.0038911281430821787,0.9577881232441423,0.9336393120031751,0.9789026122895079,0.9573819399796974,0.026946188763100846,0.002410257390784329,0.0021177294111245307,0.0027627667408581004,0.002457823203365178,0.0004470242150973885,1000.0,5.551476740270975e-05
20d,0.07225470363273007,0.06906222313444915,0.07523762447503934,0.07213454175414305,0.0040760726701349675,0.9261563267352613,0.9036256347796826,0.9457302244534436,0.9257539525217983,0.02521721975574176,0.0023865441464312465,0.0020894575735403986,0.0027320667703114587,0.0024316254301852886,0.00044180011181710257,1000.0,5.551476740270975e-05
20c,0.06664238776017427,0.06341596685871893,0.06967499153158603,0.06651811569370665,0.004034599143529937,0.9319801146012773,0.9090736476069547,0.9518659078447267,0.9315612718882273,0.025524405831403717,0.0022028522846295386,0.0019253769015356533,0.0025142291463390283,0.0022423381877149278,0.00041060834036004594,1000.0,5.551476740270975e-05
20b,0.06462998188847872,0.06132717731101483,0.06762236129248554,0.06443468452415496,0.004020217724324143,0.9340900760154033,0.911036727758748,0.9540458111666386,0.9337155448223201,0.025639110837475814,0.002131292254369216,0.0018670265155564388,0.0024378379880157265,0.0021721209130851804,0.00039910113435108864,1000.0,5.551476740270975e-05
A15,0.03516388318763185,0.03188456041750742,0.03849987366181119,0.03515132757763673,0.003881373382452751,0.963937148320444,0.9394831131347978,0.9855421232386488,0.9635284396983542,0.027277984372126085,0.001628256901425834,0.001407361162672567,0.0018589244567262801,0.0016532288861312412,0.000322168898471372,1000.0,5.551476740270975e-05
A600,0.07006720446854674,0.06683091474263464,0.0730549948561243,0.06992604026245627,0.004072601556758201,0.9301985395524845,0.9075503058362182,0.9499822048925478,0.9298284559545176,0.025414508760636337,0.000562493057847635,0.0003834663757594428,0.0007358883615783021,0.0005653332167405743,0.00022724632947723804,1000.0,5.551476740270975e-05
A3200,0.053540250122095345,0.05027578449371588,0.0567345474478643,0.05342168607392782,0.003967989126742321,0.9473317579215517,0.9237239259574588,0.9679367832784261,0.9469024991746329,0.02633481731137034,0.0,0.0,0.0,8.749114901323359e-07,4.484645447769263e-06,1000.0,5.551476740270975e-05
A300,0.07044745477040465,0.06722814621832111,0.07346428267334248,0.07032784918282885,0.0040808843683065015,0.9304390267777716,0.9076619562959893,0.9502244553272986,0.9299904529171783,0.025428368199034292,0.0,0.0,0.0,1.152768316506714e-06,5.908609455337278e-06,1000.0,5.551476740270975e-05
A100,0.09512286262768235,0.0919220720714847,0.09807063336546748,0.09500204889404515,0.004298250844620538,0.9050376123412951,0.8835450982058122,0.9235190859713646,0.9045434943633865,0.024103087288581775,0.0007648087219562518,0.0005191388551902563,0.0009956728377569098,0.0007678809095593688,0.000307097254571475,1000.0,5.551476740270975e-05
A30,0.12155765583081785,0.11835243250916452,0.12479203847901216,0.12152662958880547,0.004582857091267543,0.8764825466295845,0.8563249931883228,0.8943699849402309,0.8762639984735703,0.022710187607576027,0.0024843301965711594,0.0021219655999832436,0.0028821674627536567,0.0025193022293866192,0.0005353056551615573,1000.0,5.551476740270975e-05
A50,0.08751480052672084,0.08427193155775481,0.09044911600780955,0.08734514285567486,0.004222724821894281,0.9126573344595216,0.8908900698116955,0.9315268557613674,0.9122639686567638,0.024497518092055498,0.0007044878630047172,0.00047789774097706196,0.0009145320116495334,0.000706035468157624,0.00028268045887550096,1000.0,5.551476740270975e-05
80b,0.021453443320667592,0.01820046177278125,0.02494711163565657,0.02153783674902319,0.003875830965427849,0.9792218744145977,0.953887705309366,1.0015419689106841,0.9786261354958906,0.02810561635877071,0.000167560605915968,0.0001157870179229581,0.00022827487238501792,0.00017442966237085278,7.71289759558969e-05,1000.0,5.551476740270975e-05
M15,0.007608893622280172,0.004407030663933073,0.010959096577353979,0.007616198221464157,0.0037564317895387327,0.9735141638539497,0.9494815011357159,0.9994414995945021,0.97375421618374,0.032888260328523156,0.015878806821322512,0.008881297965377325,0.024469072040973407,0.019000645775563308,0.014152828792074862,1000.0,5.551476740270975e-05
M300,0.04442848960236316,0.04112629326908994,0.04756614817111325,0.04431660379309378,0.003894276715904058,0.9524533756695761,0.9283511449363284,0.9733682625791414,0.9520626142514254,0.026676026282363756,0.003860010877129446,0.0034190927570482846,0.004438446073512243,0.0039511806567758745,0.000689037134086669,1000.0,5.551476740270975e-05
M600,0.021890386190407785,0.0186581962478306,0.025372447728921353,0.021983294567487124,0.0038621293187427997,0.9770394613404951,0.9517157275621975,0.9991427552374572,0.9763956000499611,0.028035735449886127,0.0019254176362326404,0.0016045771716769592,0.0022697656558611505,0.0019601625112212755,0.0004557918515938857,1000.0,5.551476740270975e-05
M200,0.01598918582433191,0.012746372550203312,0.01949563011525711,0.016079455925117735,0.0038676231949230392,0.9833987403795946,0.9575594188784764,1.0058457456040852,0.9825902113372457,0.028401200585713708,0.0016457899746663562,0.001290402792688522,0.0020178172840252914,0.0016721176364137582,0.00047754575701214954,1000.0,5.551476740270975e-05
M100,0.013773420451904663,0.010560077289102259,0.017248505630966086,0.013839812973845027,0.0038639146894168955,0.9847099017966346,0.9588807621998527,1.0072733547332682,0.9839468804430893,0.0285411822045872,0.0025097396170830604,0.0018985417509243426,0.0031354321789567804,0.0025567163483876864,0.0008239749525508932,1000.0,5.551476740270975e-05
M50,0.006086969777677249,0.0028226258277242655,0.009543760016767301,0.006139122475665109,0.0038412528059755644,0.9910398718551259,0.9652925574778088,1.0149181488572268,0.990828306556039,0.02925645652107524,0.0032920430100331463,0.0014625127474539282,0.0050375942316040765,0.0033812673722413695,0.002259232190894939,1000.0,5.551476740270975e-05
MonSt20,0.01771907160769486,0.01446690402987506,0.02121498011978505,0.017800340949606783,0.003874180770517728,0.9826991886106922,0.9570735083080568,1.0050074290992759,0.9819397186157836,0.028313454275135697,0.0005852392732686473,0.00046837771654286564,0.0007155026223920378,0.000600336756949261,0.00016871796297243644,1000.0,5.551476740270975e-05
